OrderNumber,CustomerName,State,TaxRate,ProductType,Area,CostPerSquareFoot,LaborCostPerSquareFoot,MaterialCost,LaborCost,Tax,Total
13,Elon Musk,DN,9.46,Distressed Red Oak,23351,18.57,23.33,433628.07,544778.83,92557.29,1070964.19
21,Charles Darwin,HI,4.35,Laminate,10146,4.5,9.8,45657,99430.8,6311.32,151399.12
24,Jaden Smith,LO,9.46,Mosaic Tile,21821,18.5,49.25,403688.5,1074684.25,139854.06,1618226.81
28,Bill Gates,WY,9.46,Mosaic Tile,19753,18.5,49.25,365430.5,972835.25,126599.94,1464865.69
37,Monty Hall,KY,6,Laminate,17641,4.5,9.8,79384.5,172881.8,15135.98,267402.28
44,Albert Einstein,TN,9.46,Disco Light Up Panels,9030,40.78,23.33,368243.4,210669.9,54765.2,633678.5
53,Bill Gates,XX,9.46,Granite,14271,72.5,29.25,1034647.5,417426.75,137366.22,1589440.47
61,Grace Murray Hopper,HI,4.35,Marble,10519,88.73,34.25,933350.87,360275.75,56272.76,1349899.38
62,Jaden Smith,AK,1.76,Carpet,25466,12.5,6.3,318325,160435.8,8426.19,487186.99
67,Jaden Smith,XX,9.46,Mosaic Tile,4937,18.5,49.25,91334.5,243147.25,31641.97,366123.72
74,Elon Musk,AK,1.76,Carpet,13130,12.5,6.3,164125,82719,4344.45,251188.45
80,Charles Babbage,RI,7,Straw,14444,1.8,3.25,25999.2,46943,5105.95,78048.15
89,Grace Murray Hopper,II,9.46,Tile,15618,1.5,14.3,23427,223337.4,23343.91,270108.31
91,Thomas J. Watson,XX,9.46,Laminate,3385,4.5,9.8,15232.5,33173,4579.16,52984.66
96,Ada Lovelace,HI,4.35,Straw,10408,1.8,3.25,18734.4,33826,2286.38,54846.78
98,Steve Jobs,XX,9.46,Bamboo,23162,18.5,9.25,428497,214248.5,60803.72,703549.22
103,Alex Trebek,DN,9.46,Disco Light Up Panels,24196,40.78,23.33,986712.88,564492.68,146744.05,1697949.61
109,Charles Babbage,HI,4.35,Straw,18412,1.8,3.25,33141.6,59839,4044.66,97025.26
112,Alex Trebek,OH,7.14,Marble,4105,88.73,34.25,364236.65,140596.25,36045.07,540877.97
118,Steve Jobs,TN,9.46,Marble,29179,88.73,34.25,2589052.67,999380.75,339465.8,3927899.22
120,Grace Murray Hopper,KY,6,Trampoline,14212,20.78,13.33,295325.36,189445.96,29086.28,513857.6
127,Monty Hall,HI,4.35,Trampoline,22013,20.78,13.33,457430.14,293433.29,32662.56,783525.99
129,Monty Hall,II,9.46,Distressed Red Oak,15178,18.57,23.33,281855.46,354102.74,60161.65,696119.85
137,Charles Darwin,DN,9.46,Marble,9902,88.73,34.25,878604.46,339143.5,115198.96,1332946.92
