OrderNumber,CustomerName,State,TaxRate,ProductType,Area,CostPerSquareFoot,LaborCostPerSquareFoot,MaterialCost,LaborCost,Tax,Total
9,Charles Babbage,ZZ,9.46,Bamboo,21862,18.5,9.25,404447,202223.5,57391.03,664061.53
13,Charles Darwin,ZZ,9.46,Asphalt,10161,10.78,13.33,109535.58,135446.13,23175.27,268156.98
16,Charles Babbage,DN,9.46,Disco Light Up Panels,19303,40.78,23.33,787176.34,450338.99,117068.95,1354584.28
17,Jean Ichbiah,ZZ,9.46,Bamboo,14663,18.5,9.25,271265.5,135632.75,38492.57,445390.82
27,Grace Murray Hopper,AK,1.76,Carpet,1006,12.5,6.3,12575,6337.8,332.87,19245.67
34,Alex Trebek,DN,9.46,Carpet,16077,12.5,6.3,200962.5,101285.1,28592.62,330840.22
38,Thomas J. Watson,LO,9.46,Asphalt,12085,10.78,13.33,130276.3,161093.05,27563.54,318932.89
44,Albert Einstein,DN,9.46,Laminate,12020,4.5,9.8,54090,117796,16260.42,188146.42
48,Steve Jobs,AK,1.76,Carpet,25887,12.5,6.3,323587.5,163088.1,8565.49,495241.09
55,Grace Murray Hopper,WY,9.46,Bamboo,17396,18.5,9.25,321826,160913,45667.11,528406.11
61,Jean Ichbiah,ZZ,9.46,Trampoline,8728,20.78,13.33,181367.84,116344.24,28163.56,325875.64
68,Charles Darwin,WY,9.46,Trampoline,15264,20.78,13.33,317185.92,203469.12,49253.97,569909.01
69,Bill Gates,TN,9.46,Dirt,372,0.78,3.33,290.16,1238.76,144.64,1673.56
76,Jean Ichbiah,DN,9.46,Asphalt,2744,10.78,13.33,29580.32,36577.52,6258.53,72416.37
84,Bill Gates,RI,7,Marble,25241,88.73,34.25,2239633.93,864504.25,217289.67,3321427.85
94,Penn Jillette,WY,9.46,Distressed Red Oak,11473,18.57,23.33,213053.61,267665.09,45475.99,526194.69
98,Charles Darwin,LO,9.46,Bamboo,12800,18.5,9.25,236800,118400,33601.92,388801.92
103,Elon Musk,KY,6,Laminate,13910,4.5,9.8,62595,136318,11934.78,210847.78
111,Grace Murray Hopper,XX,9.46,Granite,26234,72.5,29.25,1901965,767344.5,252516.68,2921826.18
113,Jaden Smith,ZZ,9.46,Marble,28817,88.73,34.25,2556932.41,986982.25,335254.33,3879168.99
121,Monty Hall,KY,6,Granite,24687,72.5,29.25,1789807.5,722094.75,150714.14,2662616.39
124,Albert Einstein,LO,9.46,Wood,8715,12.5,9.25,108937.5,80613.75,17931.55,207482.8
132,Ada Lovelace,TX,8.19,Wood,11413,12.5,9.25,142662.5,105570.25,20330.26,268563.01
137,Jaden Smith,II,9.46,Straw,17341,1.8,3.25,31213.8,56358.25,8284.32,95856.37
143,Steve Jobs,WY,9.46,Tile,24217,1.5,14.3,36325.5,346303.1,36196.67,418825.27
150,Albert Einstein,ZZ,9.46,Bamboo,24232,18.5,9.25,448292,224146,63612.63,736050.63
