OrderNumber,CustomerName,State,TaxRate,ProductType,Area,CostPerSquareFoot,LaborCostPerSquareFoot,MaterialCost,LaborCost,Tax,Total
5,Penn Jillette,RI,7,Disco Light Up Panels,13096,40.78,23.33,534054.88,305529.68,58770.92,898355.48
13,Jaden Smith,ZZ,9.46,Dirt,21915,0.78,3.33,17093.7,72976.95,8520.68,98591.33
15,Monty Hall,RI,7,Asphalt,8679,10.78,13.33,93559.62,115691.07,14647.55,223898.24
16,Penn Jillette,OH,7.14,Disco Light Up Panels,9322,40.78,23.33,380151.16,217482.26,42671.03,640304.45
17,Alex Trebek,KY,6,Granite,7241,72.5,29.25,524972.5,211799.25,44206.31,780978.06
19,Monty Hall,RI,7,Carpet,7654,12.5,6.3,95675,48220.2,10072.66,153967.86
21,Charles Darwin,HI,4.35,Bamboo,25027,18.5,9.25,462999.5,231499.75,30210.72,724709.97
29,Charles Darwin,HI,4.35,Distressed Red Oak,19207,18.57,23.33,356673.99,448099.31,35007.64,839780.94
32,Ada Lovelace,DN,9.46,Wood,21419,12.5,9.25,267737.5,198125.75,44070.66,509933.91
37,Monty Hall,TN,9.46,Bamboo,23501,18.5,9.25,434768.5,217384.25,61693.65,713846.4
38,Charles Babbage,TX,8.19,Granite,14217,72.5,29.25,1030732.5,415847.25,118474.88,1565054.63
47,Jaden Smith,KY,6,Dirt,23476,0.78,3.33,18311.28,78175.08,5789.18,102275.54
50,Steve Jobs,WY,9.46,Asphalt,1262,10.78,13.33,13604.36,16822.46,2878.38,33305.2
57,Bill Gates,DN,9.46,Straw,2879,1.8,3.25,5182.2,9356.75,1375.38,15914.33
66,Ada Lovelace,II,9.46,Wood,1772,12.5,9.25,22150,16391,3645.98,42186.98
69,Elon Musk,KY,6,Wood,14722,12.5,9.25,184025,136178.5,19212.21,339415.71
77,Charles Babbage,RI,7,Trampoline,1528,20.78,13.33,31751.84,20368.24,3648.41,55768.49
81,Elon Musk,RI,7,Laminate,23046,4.5,9.8,103707,225850.8,23069.05,352626.85
86,Steve Jobs,AK,1.76,Wood,25709,12.5,9.25,321362.5,237808.25,9841.41,569012.16
93,Thomas J. Watson,AK,1.76,Marble,15726,88.73,34.25,1395367.98,538615.5,34038.11,1968021.59
101,Jean Ichbiah,II,9.46,Laminate,12565,4.5,9.8,56542.5,123137,16997.68,196677.18
106,Alex Trebek,KY,6,Carpet,3676,12.5,6.3,45950,23158.8,4146.53,73255.33
107,Jean Ichbiah,KY,6,Straw,6183,1.8,3.25,11129.4,20094.75,1873.45,33097.6
114,Penn Jillette,RI,7,Carpet,17638,12.5,6.3,220475,111119.4,23211.61,354806.01
121,Alex Trebek,LO,9.46,Granite,11432,72.5,29.25,828820,334386,110039.29,1273245.29
