OrderNumber,CustomerName,State,TaxRate,ProductType,Area,CostPerSquareFoot,LaborCostPerSquareFoot,MaterialCost,LaborCost,Tax,Total
8,Grace Murray Hopper,KY,6,Trampoline,29768,20.78,13.33,618579.04,396807.44,60923.19,1076309.67
13,Steve Jobs,RI,7,Tile,384,1.5,14.3,576,5491.2,424.7,6491.9
21,Penn Jillette,WY,9.46,Laminate,3072,4.5,9.8,13824,30105.6,4155.74,48085.34
25,Grace Murray Hopper,RI,7,Mosaic Tile,19886,18.5,49.25,367891,979385.5,94309.36,1441585.86
26,Albert Einstein,TN,9.46,Trampoline,16450,20.78,13.33,341831,219278.5,53080.96,614190.46
31,Thomas J. Watson,LO,9.46,Granite,15246,72.5,29.25,1105335,445945.5,146751.14,1698031.64
37,Albert Einstein,TN,9.46,Dirt,4871,0.78,3.33,3799.38,16220.43,1893.87,21913.68
40,Grace Murray Hopper,ZZ,9.46,Carpet,1908,12.5,6.3,23850,12020.4,3393.34,39263.74
41,Monty Hall,WY,9.46,Trampoline,10385,20.78,13.33,215800.3,138432.05,33510.38,387742.73
48,Ada Lovelace,AK,1.76,Straw,23157,1.8,3.25,41682.6,75260.25,2058.19,119001.04
51,Elon Musk,XX,9.46,Marble,21506,88.73,34.25,1908227.38,736580.5,250198.83,2895006.71
52,Charles Babbage,AK,1.76,Marble,14590,88.73,34.25,1294570.7,499707.5,31579.3,1825857.5
61,Elon Musk,ZZ,9.46,Dirt,1956,0.78,3.33,1525.68,6513.48,760.5,8799.66
68,Steve Jobs,XX,9.46,Distressed Red Oak,21940,18.57,23.33,407425.8,511860.2,86964.46,1006250.46
69,Penn Jillette,OH,7.14,Trampoline,21148,20.78,13.33,439455.44,281902.84,51504.98,772863.26
73,Grace Murray Hopper,AK,1.76,Bamboo,15120,18.5,9.25,279720,139860,7384.61,426964.61
80,Jean Ichbiah,HI,4.35,Marble,12416,88.73,34.25,1101671.68,425248,66421.01,1593340.69
83,Penn Jillette,ZZ,9.46,Asphalt,26990,10.78,13.33,290952.2,359776.7,61558.95,712287.85
85,Grace Murray Hopper,OH,7.14,Bamboo,617,18.5,9.25,11414.5,5707.25,1222.49,18344.24
86,Alex Trebek,WY,9.46,Trampoline,8596,20.78,13.33,178624.88,114584.68,27737.62,320947.18
90,Monty Hall,LO,9.46,Asphalt,29205,10.78,13.33,314829.9,389302.65,66610.94,770743.49
98,Monty Hall,OH,7.14,Marble,1700,88.73,34.25,150841,58225,14927.31,223993.31
104,Monty Hall,OH,7.14,Marble,20667,88.73,34.25,1833782.91,707844.75,181472.21,2723099.87
108,Ada Lovelace,ZZ,9.46,Granite,15977,72.5,29.25,1158332.5,467327.25,153787.41,1779447.16
111,Penn Jillette,XX,9.46,Wood,14615,12.5,9.25,182687.5,135188.75,30071.09,347947.34
118,Jean Ichbiah,DN,9.46,Mosaic Tile,27257,18.5,49.25,504254.5,1342407.25,174694.2,2021355.95
