OrderNumber,CustomerName,State,TaxRate,ProductType,Area,CostPerSquareFoot,LaborCostPerSquareFoot,MaterialCost,LaborCost,Tax,Total
6,Thomas J. Watson,OH,7.14,Marble,16644,88.73,34.25,1476822.12,570057,146147.17,2193026.29
14,Alex Trebek,II,9.46,Laminate,13502,4.5,9.8,60759,132319.6,18265.24,211343.84
20,Ada Lovelace,HI,4.35,Laminate,19633,4.5,9.8,88348.5,192403.4,12212.71,292964.61
29,Alex Trebek,TX,8.19,Distressed Red Oak,5510,18.57,23.33,102320.7,128548.3,18908.17,249777.17
37,Thomas J. Watson,OH,7.14,Trampoline,28047,20.78,13.33,582816.66,373866.51,68307.18,1024990.35
42,Elon Musk,LO,9.46,Dirt,24895,0.78,3.33,19418.1,82900.35,9679.33,111997.78
47,Charles Babbage,TN,9.46,Trampoline,20353,20.78,13.33,422935.34,271305.49,65675.18,759916.01
48,Alex Trebek,KY,6,Asphalt,21641,10.78,13.33,233289.98,288474.53,31305.87,553070.38
57,Thomas J. Watson,ZZ,9.46,Marble,28955,88.73,34.25,2569177.15,991708.75,336859.81,3897745.71
59,Monty Hall,AK,1.76,Marble,15526,88.73,34.25,1377621.98,531765.5,33605.22,1942992.7
62,Albert Einstein,AK,1.76,Asphalt,18274,10.78,13.33,196993.72,243592.42,7754.32,448340.46
67,Jean Ichbiah,RI,7,Granite,20419,72.5,29.25,1480377.5,597255.75,145434.33,2223067.58
77,Bill Gates,DN,9.46,Laminate,27405,4.5,9.8,123322.5,268569,37072.94,428964.44
84,Jean Ichbiah,LO,9.46,Tile,25499,1.5,14.3,38248.5,364635.7,38112.85,440997.05
94,Ada Lovelace,DN,9.46,Asphalt,15346,10.78,13.33,165429.88,204562.18,35001.25,404993.31
100,Bill Gates,WY,9.46,Granite,15564,72.5,29.25,1128390,455247,149812.06,1733449.06
101,Ada Lovelace,II,9.46,Tile,13883,1.5,14.3,20824.5,198526.9,20750.64,240102.04
107,Steve Jobs,ZZ,9.46,Straw,9439,1.8,3.25,16990.2,30676.75,4509.29,52176.24
110,Bill Gates,TX,8.19,Marble,20209,88.73,34.25,1793144.57,692158.25,203546.3,2688849.12
114,Albert Einstein,HI,4.35,Disco Light Up Panels,27627,40.78,23.33,1126629.06,644537.91,77045.76,1848212.73
117,Steve Jobs,TX,8.19,Disco Light Up Panels,26231,40.78,23.33,1069700.18,611969.23,137728.72,1819398.13
121,Elon Musk,DN,9.46,Distressed Red Oak,516,18.57,23.33,9582.12,12038.28,2045.29,23665.69
125,Steve Jobs,TX,8.19,Asphalt,16834,10.78,13.33,181470.52,224397.22,33240.57,439108.31
132,Monty Hall,WY,9.46,Trampoline,21002,20.78,13.33,436421.56,279956.66,67769.38,784147.6
134,Ada Lovelace,TX,8.19,Mosaic Tile,29894,18.5,49.25,553039,1472279.5,165873.59,2191192.09
139,Alex Trebek,AK,1.76,Mosaic Tile,27307,18.5,49.25,505179.5,1344869.75,32560.87,1882610.12
143,Penn Jillette,II,9.46,Tile,8431,1.5,14.3,12646.5,120563.3,12601.65,145811.45
147,Alex Trebek,KY,6,Dirt,1101,0.78,3.33,858.78,3666.33,271.51,4796.62
149,Thomas J. Watson,TN,9.46,Disco Light Up Panels,4996,40.78,23.33,203736.88,116556.68,30299.77,350593.33
155,Steve Jobs,ZZ,9.46,Distressed Red Oak,21384,18.57,23.33,397100.88,498888.72,84760.62,980750.22
157,Albert Einstein,II,9.46,Laminate,15021,4.5,9.8,67594.5,147205.8,20320.11,235120.41
162,Bill Gates,DN,9.46,Carpet,15900,12.5,6.3,198750,100170,28277.83,327197.83
170,Thomas J. Watson,KY,6,Tile,11950,1.5,14.3,17925,170885,11328.6,200138.6
174,Thomas J. Watson,OH,7.14,Mosaic Tile,2585,18.5,49.25,47822.5,127311.25,12504.55,187638.3
184,Elon Musk,KY,6,Dirt,20606,0.78,3.33,16072.68,68617.98,5081.44,89772.1
186,Thomas J. Watson,KY,6,Distressed Red Oak,835,18.57,23.33,15505.95,19480.55,2099.19,37085.69
187,Alex Trebek,ZZ,9.46,Mosaic Tile,6920,18.5,49.25,128020,340810,44351.32,513181.32
193,Penn Jillette,WY,9.46,Dirt,3648,0.78,3.33,2845.44,12147.84,1418.36,16411.64
199,Monty Hall,OH,7.14,Granite,17671,72.5,29.25,1281147.5,516876.75,128378.93,1926403.18
205,Grace Murray Hopper,XX,9.46,Wood,4213,12.5,9.25,52662.5,38970.25,8668.46,100301.21
213,Penn Jillette,TX,8.19,Mosaic Tile,10287,18.5,49.25,190309.5,506634.75,57079.73,754023.98
