OrderNumber,CustomerName,State,TaxRate,ProductType,Area,CostPerSquareFoot,LaborCostPerSquareFoot,MaterialCost,LaborCost,Tax,Total
6,Charles Babbage,AK,1.76,Tile,7932,1.5,14.3,11898,113427.6,2205.73,127531.33
10,Albert Einstein,TX,8.19,Carpet,9450,12.5,6.3,118125,59535,14550.35,192210.35
11,Grace Murray Hopper,LO,9.46,Mosaic Tile,29054,18.5,49.25,537499,1430909.5,186211.44,2154619.94
17,Steve Jobs,HI,4.35,Dirt,20694,0.78,3.33,16141.32,68911.02,3699.78,88752.12
22,Alex Trebek,II,9.46,Wood,20329,12.5,9.25,254112.5,188043.25,41827.93,483983.68
26,Steve Jobs,WY,9.46,Granite,11737,72.5,29.25,850932.5,343307.25,112975.08,1307214.83
36,Albert Einstein,XX,9.46,Wood,13412,12.5,9.25,167650,124061,27595.86,319306.86
41,Penn Jillette,OH,7.14,Straw,25663,1.8,3.25,46193.4,83404.75,9253.31,138851.46
43,Albert Einstein,RI,7,Marble,19931,88.73,34.25,1768477.63,682636.75,171578.01,2622692.39
53,Elon Musk,LO,9.46,Trampoline,23087,20.78,13.33,479747.86,307749.71,74497.27,861994.84
57,Monty Hall,RI,7,Disco Light Up Panels,3833,40.78,23.33,156309.74,89423.89,17201.35,262934.98
58,Jaden Smith,DN,9.46,Straw,7803,1.8,3.25,14045.4,25359.75,3727.73,43132.88
65,Thomas J. Watson,OH,7.14,Dirt,5537,0.78,3.33,4318.86,18438.21,1624.85,24381.92
70,Charles Darwin,TX,8.19,Wood,26406,12.5,9.25,330075,244255.5,47037.67,621368.17
73,Albert Einstein,WY,9.46,Granite,12705,72.5,29.25,921112.5,371621.25,122292.61,1415026.36
77,Alex Trebek,AK,1.76,Distressed Red Oak,21476,18.57,23.33,398809.32,501035.08,15837.26,915681.66
79,Jaden Smith,II,9.46,Marble,17687,88.73,34.25,1569367.51,605779.75,205768.93,2380916.19
80,Steve Jobs,ZZ,9.46,Carpet,18655,12.5,6.3,233187.5,117526.5,33177.54,383891.54
84,Alex Trebek,TX,8.19,Disco Light Up Panels,9406,40.78,23.33,383576.68,219441.98,49387.23,652405.89
91,Monty Hall,TX,8.19,Trampoline,16913,20.78,13.33,351452.14,225450.29,47248.31,624150.74
101,Elon Musk,HI,4.35,Trampoline,8269,20.78,13.33,171829.82,110225.77,12269.42,294325.01
