OrderNumber,CustomerName,State,TaxRate,ProductType,Area,CostPerSquareFoot,LaborCostPerSquareFoot,MaterialCost,LaborCost,Tax,Total
6,Elon Musk,AK,1.76,Disco Light Up Panels,23956,40.78,23.33,976925.68,558893.48,27030.42,1562849.58
14,Albert Einstein,LO,9.46,Carpet,9829,12.5,6.3,122862.5,61922.7,17480.68,202265.88
15,Albert Einstein,KY,6,Carpet,25273,12.5,6.3,315912.5,159219.9,28507.94,503640.34
19,Steve Jobs,KY,6,Mosaic Tile,8135,18.5,49.25,150497.5,400648.75,33068.78,584215.03
23,Albert Einstein,HI,4.35,Trampoline,21208,20.78,13.33,440702.24,282702.64,31468.11,754872.99
25,Monty Hall,KY,6,Laminate,19220,4.5,9.8,86490,188356,16490.76,291336.76
28,Charles Babbage,AK,1.76,Marble,5932,88.73,34.25,526346.36,203171,12839.51,742356.87
38,Ada Lovelace,HI,4.35,Tile,6671,1.5,14.3,10006.5,95395.3,4584.98,109986.78
41,Jaden Smith,OH,7.14,Straw,29300,1.8,3.25,52740,95225,10564.7,158529.7
43,Albert Einstein,AK,1.76,Laminate,14094,4.5,9.8,63423,138121.2,3547.18,205091.38
48,Grace Murray Hopper,RI,7,Mosaic Tile,9201,18.5,49.25,170218.5,453149.25,43635.74,667003.49
54,Grace Murray Hopper,TX,8.19,Trampoline,7145,20.78,13.33,148473.1,95242.85,19960.34,263676.29
57,Albert Einstein,RI,7,Granite,10222,72.5,29.25,741095,298993.5,72806.2,1112894.7
67,Ada Lovelace,ZZ,9.46,Asphalt,15863,10.78,13.33,171003.14,211453.79,36180.43,418637.36
71,Steve Jobs,RI,7,Bamboo,29659,18.5,9.25,548691.5,274345.75,57612.61,880649.86
72,Bill Gates,XX,9.46,Bamboo,24495,18.5,9.25,453157.5,226578.75,64303.05,744039.3
76,Jaden Smith,WY,9.46,Tile,19622,1.5,14.3,29433,280594.6,29328.61,339356.21
85,Steve Jobs,TX,8.19,Straw,10003,1.8,3.25,18005.4,32509.75,4137.19,54652.34
87,Penn Jillette,II,9.46,Tile,3540,1.5,14.3,5310,50622,5291.17,61223.17
97,Elon Musk,TX,8.19,Marble,26226,88.73,34.25,2327032.98,898240.5,264149.9,3489423.38
104,Grace Murray Hopper,XX,9.46,Disco Light Up Panels,20554,40.78,23.33,838192.12,479524.82,124656.02,1442372.96
110,Penn Jillette,AK,1.76,Laminate,1857,4.5,9.8,8356.5,18198.6,467.37,27022.47
113,Penn Jillette,TN,9.46,Straw,1354,1.8,3.25,2437.2,4400.5,646.85,7484.55
120,Penn Jillette,HI,4.35,Granite,12417,72.5,29.25,900232.5,363197.25,54959.19,1318388.94
130,Charles Darwin,XX,9.46,Straw,19027,1.8,3.25,34248.6,61837.75,9089.77,105176.12
139,Albert Einstein,ZZ,9.46,Laminate,15102,4.5,9.8,67959,147999.6,20429.68,236388.28
142,Albert Einstein,WY,9.46,Marble,3414,88.73,34.25,302924.22,116929.5,39718.16,459571.88
149,Albert Einstein,II,9.46,Wood,29395,12.5,9.25,367437.5,271903.75,60481.68,699822.93
157,Monty Hall,TN,9.46,Granite,20048,72.5,29.25,1453480,586404,192973.03,2232857.03
