OrderNumber,CustomerName,State,TaxRate,ProductType,Area,CostPerSquareFoot,LaborCostPerSquareFoot,MaterialCost,LaborCost,Tax,Total
4,Alex Trebek,TN,9.46,Tile,16178,1.5,14.3,24267,231345.4,24180.93,279793.33
9,Albert Einstein,AK,1.76,Granite,10977,72.5,29.25,795832.5,321077.25,19657.61,1136567.36
10,Elon Musk,KY,6,Asphalt,5963,10.78,13.33,64281.14,79486.79,8626.08,152394.01
20,Monty Hall,TN,9.46,Dirt,20210,0.78,3.33,15763.8,67299.3,7857.77,90920.87
27,Jaden Smith,HI,4.35,Distressed Red Oak,6975,18.57,23.33,129525.75,162726.75,12712.98,304965.48
31,Jaden Smith,II,9.46,Granite,28891,72.5,29.25,2094597.5,845061.75,278091.77,3217751.02
35,Alex Trebek,XX,9.46,Straw,1168,1.8,3.25,2102.4,3796,557.99,6456.39
43,Alex Trebek,TN,9.46,Asphalt,28517,10.78,13.33,307413.26,380131.61,65041.74,752586.61
47,Grace Murray Hopper,KY,6,Distressed Red Oak,20281,18.57,23.33,376618.17,473155.73,50986.43,900760.33
52,Monty Hall,DN,9.46,Distressed Red Oak,15854,18.57,23.33,294408.78,369873.82,62841.13,727123.73
62,Steve Jobs,ZZ,9.46,Granite,1632,72.5,29.25,118320,47736,15708.9,181764.9
72,Elon Musk,II,9.46,Carpet,17046,12.5,6.3,213075,107389.8,30315.97,350780.77
75,Monty Hall,RI,7,Dirt,27107,0.78,3.33,21143.46,90266.31,7798.68,119208.45
85,Penn Jillette,LO,9.46,Distressed Red Oak,17506,18.57,23.33,325086.42,408414.98,69389.23,802890.63
94,Charles Babbage,XX,9.46,Distressed Red Oak,27772,18.57,23.33,515726.04,647920.76,110080.99,1273727.79
104,Charles Babbage,LO,9.46,Wood,19426,12.5,9.25,242825,179690.5,39969.97,462485.47
105,Charles Babbage,HI,4.35,Disco Light Up Panels,28353,40.78,23.33,1156235.34,661475.49,79070.42,1896781.25
111,Jean Ichbiah,TX,8.19,Wood,21661,12.5,9.25,270762.5,200364.25,38585.28,509712.03
116,Charles Darwin,TX,8.19,Tile,1113,1.5,14.3,1669.5,15915.9,1440.24,19025.64
118,Albert Einstein,XX,9.46,Bamboo,14462,18.5,9.25,267547,133773.5,37964.92,439285.42
126,Grace Murray Hopper,II,9.46,Wood,14554,12.5,9.25,181925,134624.5,29945.58,346495.08
129,Ada Lovelace,II,9.46,Disco Light Up Panels,19876,40.78,23.33,810543.28,463707.08,120544.08,1394794.44
131,Bill Gates,ZZ,9.46,Granite,12032,72.5,29.25,872320,351936,115814.62,1340070.62
140,Charles Darwin,LO,9.46,Straw,15100,1.8,3.25,27180,49075,7213.72,83468.72
142,Penn Jillette,RI,7,Distressed Red Oak,26625,18.57,23.33,494426.25,621161.25,78091.13,1193678.63
148,Thomas J. Watson,XX,9.46,Straw,2517,1.8,3.25,4530.6,8180.25,1202.45,13913.3
155,Steve Jobs,TX,8.19,Tile,23775,1.5,14.3,35662.5,339982.5,30765.33,406410.33
163,Elon Musk,OH,7.14,Distressed Red Oak,825,18.57,23.33,15320.25,19247.25,2468.12,37035.62
173,Charles Darwin,DN,9.46,Mosaic Tile,21194,18.5,49.25,392089,1043804.5,135835.53,1571729.03
183,Ada Lovelace,TN,9.46,Bamboo,25212,18.5,9.25,466422,233211,66185.28,765818.28
192,Monty Hall,AK,1.76,Wood,8678,12.5,9.25,108475,80271.5,3321.94,192068.44
198,Steve Jobs,KY,6,Asphalt,20748,10.78,13.33,223663.44,276570.84,30014.06,530248.34
201,Jaden Smith,KY,6,Laminate,25703,4.5,9.8,115663.5,251889.4,22053.17,389606.07
211,Alex Trebek,LO,9.46,Carpet,600,12.5,6.3,7500,3780,1067.09,12347.09
