OrderNumber,CustomerName,State,TaxRate,ProductType,Area,CostPerSquareFoot,LaborCostPerSquareFoot,MaterialCost,LaborCost,Tax,Total
12,Charles Babbage,AK,1.76,Distressed Red Oak,7277,18.57,23.33,135133.89,169772.41,5366.35,310272.65
14,Monty Hall,AK,1.76,Dirt,26006,0.78,3.33,20284.68,86599.98,1881.17,108765.83
23,Jean Ichbiah,HI,4.35,Distressed Red Oak,7909,18.57,23.33,146870.13,184516.97,14415.34,345802.44
28,Steve Jobs,WY,9.46,Tile,24872,1.5,14.3,37308,355669.6,37175.68,430153.28
34,Albert Einstein,LO,9.46,Bamboo,3712,18.5,9.25,68672,34336,9744.56,112752.56
43,Elon Musk,XX,9.46,Mosaic Tile,18869,18.5,49.25,349076.5,929298.25,120934.25,1399309
48,Charles Babbage,XX,9.46,Granite,17408,72.5,29.25,1262080,509184,167561.57,1938825.57
57,Jaden Smith,ZZ,9.46,Laminate,19648,4.5,9.8,88416,192550.4,26579.42,307545.82
63,Jean Ichbiah,AK,1.76,Dirt,24984,0.78,3.33,19487.52,83196.72,1807.24,104491.48
69,Jaden Smith,DN,9.46,Mosaic Tile,12801,18.5,49.25,236818.5,630449.25,82043.53,949311.28
76,Elon Musk,HI,4.35,Straw,23538,1.8,3.25,42368.4,76498.5,5170.71,124037.61
86,Elon Musk,AK,1.76,Dirt,16268,0.78,3.33,12689.04,54172.44,1176.76,68038.24
93,Bill Gates,XX,9.46,Distressed Red Oak,10929,18.57,23.33,202951.53,254973.57,43319.71,501244.81
95,Thomas J. Watson,RI,7,Distressed Red Oak,366,18.57,23.33,6796.62,8538.78,1073.48,16408.88
100,Ada Lovelace,ZZ,9.46,Granite,21402,72.5,29.25,1551645,626008.5,206006.02,2383659.52
110,Bill Gates,XX,9.46,Trampoline,21609,20.78,13.33,449035.02,288047.97,69728.05,806811.04
118,Alex Trebek,WY,9.46,Bamboo,5685,18.5,9.25,105172.5,52586.25,14923.98,172682.73
124,Charles Darwin,RI,7,Granite,210,72.5,29.25,15225,6142.5,1495.73,22863.23
131,Elon Musk,AK,1.76,Granite,2361,72.5,29.25,171172.5,69059.25,4228.08,244459.83
140,Jaden Smith,DN,9.46,Distressed Red Oak,4938,18.57,23.33,91698.66,115203.54,19572.95,226475.15
145,Steve Jobs,WY,9.46,Marble,21773,88.73,34.25,1931918.29,745725.25,253305.08,2930948.62
155,Jean Ichbiah,TX,8.19,Distressed Red Oak,6714,18.57,23.33,124678.98,156637.62,23039.83,304356.43
159,Elon Musk,AK,1.76,Marble,12934,88.73,34.25,1147633.82,442989.5,27994.97,1618618.29
168,Grace Murray Hopper,HI,4.35,Laminate,22707,4.5,9.8,102181.5,222528.6,14124.89,338834.99
175,Steve Jobs,KY,6,Distressed Red Oak,27798,18.57,23.33,516208.86,648527.34,69884.17,1234620.37
