OrderNumber,CustomerName,State,TaxRate,ProductType,Area,CostPerSquareFoot,LaborCostPerSquareFoot,MaterialCost,LaborCost,Tax,Total
8,Charles Babbage,RI,7,Granite,17768,72.5,29.25,1288180,519714,126552.58,1934446.58
12,Steve Jobs,TN,9.46,Disco Light Up Panels,20026,40.78,23.33,816660.28,467206.58,121453.8,1405320.66
16,Steve Jobs,TX,8.19,Mosaic Tile,28428,18.5,49.25,525918,1400079,157739.15,2083736.15
19,Elon Musk,OH,7.14,Bamboo,20367,18.5,9.25,376789.5,188394.75,40354.16,605538.41
24,Thomas J. Watson,DN,9.46,Granite,13892,72.5,29.25,1007170,406341,133718.14,1547229.14
25,Ada Lovelace,XX,9.46,Wood,15364,12.5,9.25,192050,142117,31612.2,365779.2
35,Steve Jobs,TX,8.19,Straw,19120,1.8,3.25,34416,62140,7907.94,104463.94
39,Charles Babbage,RI,7,Distressed Red Oak,11500,18.57,23.33,213555,268295,33729.5,515579.5
45,Monty Hall,TX,8.19,Bamboo,29087,18.5,9.25,538109.5,269054.75,66106.75,873271
49,Jean Ichbiah,LO,9.46,Marble,27134,88.73,34.25,2407599.82,929339.5,315674.46,3652613.78
51,Jean Ichbiah,OH,7.14,Mosaic Tile,24355,18.5,49.25,450567.5,1199483.75,117813.66,1767864.91
58,Monty Hall,KY,6,Distressed Red Oak,10905,18.57,23.33,202505.85,254413.65,27415.17,484334.67
63,Jaden Smith,XX,9.46,Disco Light Up Panels,4643,40.78,23.33,189341.54,108321.19,28158.89,325821.62
70,Thomas J. Watson,OH,7.14,Mosaic Tile,26579,18.5,49.25,491711.5,1309015.75,128571.93,1929299.18
78,Thomas J. Watson,HI,4.35,Bamboo,19799,18.5,9.25,366281.5,183140.75,23899.87,573322.12
86,Steve Jobs,II,9.46,Marble,11816,88.73,34.25,1048433.68,404698,137466.26,1590597.94
89,Bill Gates,DN,9.46,Disco Light Up Panels,8967,40.78,23.33,365674.26,209200.11,54383.12,629257.49
92,Steve Jobs,XX,9.46,Wood,4929,12.5,9.25,61612.5,45593.25,10141.66,117347.41
98,Steve Jobs,LO,9.46,Granite,21007,72.5,29.25,1523007.5,614454.75,202203.93,2339666.18
99,Grace Murray Hopper,XX,9.46,Distressed Red Oak,14295,18.57,23.33,265458.15,333502.35,56661.66,655622.16
103,Ada Lovelace,II,9.46,Carpet,8940,12.5,6.3,111750,56322,15899.61,183971.61
111,Bill Gates,AK,1.76,Tile,17321,1.5,14.3,25981.5,247690.3,4816.62,278488.42
