OrderNumber,CustomerName,State,TaxRate,ProductType,Area,CostPerSquareFoot,LaborCostPerSquareFoot,MaterialCost,LaborCost,Tax,Total
13,Ada Lovelace,HI,4.35,Tile,24804,1.5,14.3,37206,354697.2,17047.79,408950.99
16,Charles Babbage,LO,9.46,Marble,8757,88.73,34.25,777008.61,299927.25,101878.13,1178813.99
21,Penn Jillette,OH,7.14,Carpet,5251,12.5,6.3,65637.5,33081.3,7048.52,105767.32
29,Charles Babbage,OH,7.14,Asphalt,22815,10.78,13.33,245945.7,304123.95,39274.97,589344.62
30,Thomas J. Watson,II,9.46,Bamboo,1143,18.5,9.25,21145.5,10572.75,3000.55,34718.8
34,Penn Jillette,HI,4.35,Bamboo,15367,18.5,9.25,284289.5,142144.75,18549.89,444984.14
42,Grace Murray Hopper,ZZ,9.46,Laminate,16406,4.5,9.8,73827,160778.8,22193.71,256799.51
50,Penn Jillette,XX,9.46,Laminate,732,4.5,9.8,3294,7173.6,990.23,11457.83
55,Grace Murray Hopper,II,9.46,Granite,24148,72.5,29.25,1750730,706329,232437.78,2689496.78
57,Bill Gates,TX,8.19,Dirt,2343,0.78,3.33,1827.54,7802.19,788.67,10418.4
60,Jaden Smith,RI,7,Laminate,29868,4.5,9.8,134406,292706.4,29897.87,457010.27
67,Grace Murray Hopper,AK,1.76,Bamboo,23445,18.5,9.25,433732.5,216866.25,11450.54,662049.29
76,Elon Musk,ZZ,9.46,Asphalt,6463,10.78,13.33,69671.14,86151.79,14740.85,170563.78
83,Grace Murray Hopper,TN,9.46,Granite,1490,72.5,29.25,108025,43582.5,14342.07,165949.57
93,Jean Ichbiah,XX,9.46,Bamboo,12072,18.5,9.25,223332,111666,31690.81,366688.81
95,Albert Einstein,WY,9.46,Carpet,27974,12.5,6.3,349675,176236.2,49751.2,575662.4
104,Elon Musk,ZZ,9.46,Granite,13346,72.5,29.25,967585,390370.5,128462.59,1486418.09
114,Jean Ichbiah,HI,4.35,Carpet,15311,12.5,6.3,191387.5,96459.3,12521.34,300368.14
122,Ada Lovelace,WY,9.46,Carpet,898,12.5,6.3,11225,5657.4,1597.08,18479.48
131,Penn Jillette,II,9.46,Mosaic Tile,4533,18.5,49.25,83860.5,223250.25,29052.68,336163.43
137,Bill Gates,DN,9.46,Disco Light Up Panels,12538,40.78,23.33,511299.64,292511.54,76040.54,879851.72
140,Charles Babbage,II,9.46,Wood,3697,12.5,9.25,46212.5,34197.25,7606.76,88016.51
143,Ada Lovelace,TN,9.46,Granite,14745,72.5,29.25,1069012.5,431291.25,141928.73,1642232.48
153,Thomas J. Watson,TX,8.19,Trampoline,23122,20.78,13.33,480475.16,308216.26,64593.83,853285.25
159,Jaden Smith,KY,6,Disco Light Up Panels,18234,40.78,23.33,743582.52,425399.22,70138.9,1239120.64
161,Steve Jobs,TX,8.19,Dirt,25959,0.78,3.33,20248.02,86443.47,8738.03,115429.52
167,Bill Gates,TN,9.46,Carpet,6507,12.5,6.3,81337.5,40994.1,11572.57,133904.17
