OrderNumber,CustomerName,State,TaxRate,ProductType,Area,CostPerSquareFoot,LaborCostPerSquareFoot,MaterialCost,LaborCost,Tax,Total
10,Jaden Smith,II,9.46,Tile,14848,1.5,14.3,22272,212326.4,22193.01,256791.41
13,Penn Jillette,TX,8.19,Trampoline,8874,20.78,13.33,184401.72,118290.42,24790.49,327482.63
21,Albert Einstein,DN,9.46,Straw,28436,1.8,3.25,51184.8,92417,13584.73,157186.53
29,Thomas J. Watson,OH,7.14,Tile,4643,1.5,14.3,6964.5,66394.9,5237.86,78597.26
37,Monty Hall,XX,9.46,Straw,152,1.8,3.25,273.6,494,72.61,840.21
42,Ada Lovelace,II,9.46,Bamboo,10865,18.5,9.25,201002.5,100501.25,28522.25,330026
45,Elon Musk,DN,9.46,Laminate,12684,4.5,9.8,57078,124303.2,17158.66,198539.86
53,Charles Darwin,ZZ,9.46,Laminate,5921,4.5,9.8,26644.5,58025.8,8009.81,92680.11
60,Monty Hall,II,9.46,Tile,13606,1.5,14.3,20409,194565.8,20336.62,235311.42
62,Thomas J. Watson,DN,9.46,Granite,13102,72.5,29.25,949895,383233.5,126113.96,1459242.46
65,Jaden Smith,LO,9.46,Dirt,9827,0.78,3.33,7665.06,32723.91,3820.8,44209.77
74,Alex Trebek,II,9.46,Granite,12390,72.5,29.25,898275,362407.5,119260.56,1379943.06
78,Elon Musk,KY,6,Distressed Red Oak,12613,18.57,23.33,234223.41,294261.29,31709.08,560193.78
83,Elon Musk,OH,7.14,Bamboo,28885,18.5,9.25,534372.5,267186.25,57231.29,858790.04
85,Alex Trebek,LO,9.46,Wood,11607,12.5,9.25,145087.5,107364.75,23881.98,276334.23
91,Charles Darwin,HI,4.35,Granite,24801,72.5,29.25,1798072.5,725429.25,109772.33,2633274.08
96,Bill Gates,TN,9.46,Dirt,10020,0.78,3.33,7815.6,33366.6,3895.84,45078.04
104,Alex Trebek,XX,9.46,Marble,25765,88.73,34.25,2286128.45,882451.25,299747.64,3468327.34
110,Ada Lovelace,KY,6,Tile,29197,1.5,14.3,43795.5,417517.1,27678.76,488991.36
111,Jaden Smith,LO,9.46,Wood,17235,12.5,9.25,215437.5,159423.75,35461.87,410323.12
116,Penn Jillette,WY,9.46,Trampoline,25057,20.78,13.33,520684.46,334009.81,80854.08,935548.35
118,Grace Murray Hopper,ZZ,9.46,Marble,15827,88.73,34.25,1404329.71,542074.75,184129.86,2130534.32
127,Penn Jillette,AK,1.76,Tile,24565,1.5,14.3,36847.5,351279.5,6831.04,394958.04
135,Charles Darwin,RI,7,Asphalt,15549,10.78,13.33,167618.22,207268.17,26242.05,401128.44
144,Charles Babbage,ZZ,9.46,Granite,8991,72.5,29.25,651847.5,262986.75,86543.32,1001377.57
145,Charles Babbage,TN,9.46,Granite,7558,72.5,29.25,547955,221071.5,72749.91,841776.41
147,Albert Einstein,TX,8.19,Marble,6132,88.73,34.25,544092.36,210021,61761.88,815875.24
148,Alex Trebek,II,9.46,Dirt,10835,0.78,3.33,8451.3,36080.55,4212.71,48744.56
154,Grace Murray Hopper,WY,9.46,Distressed Red Oak,10043,18.57,23.33,186498.51,234303.19,39807.84,460609.54
162,Steve Jobs,HI,4.35,Dirt,25258,0.78,3.33,19701.24,84109.14,4515.75,108326.13
170,Penn Jillette,II,9.46,Dirt,7342,0.78,3.33,5726.76,24448.86,2854.61,33030.23
178,Thomas J. Watson,TN,9.46,Dirt,1207,0.78,3.33,941.46,4019.31,469.29,5430.06
182,Charles Babbage,DN,9.46,Carpet,25276,12.5,6.3,315950,159238.8,44952.86,520141.66
188,Ada Lovelace,KY,6,Straw,25738,1.8,3.25,46328.4,83648.5,7798.61,137775.51
191,Albert Einstein,KY,6,Trampoline,19082,20.78,13.33,396523.96,254363.06,39053.22,689940.24
195,Thomas J. Watson,HI,4.35,Distressed Red Oak,15834,18.57,23.33,294037.38,369407.22,28859.84,692304.44
198,Charles Babbage,KY,6,Bamboo,27414,18.5,9.25,507159,253579.5,45644.31,806382.81
205,Charles Darwin,WY,9.46,Wood,20760,12.5,9.25,259500,192030,42714.74,494244.74
207,Alex Trebek,LO,9.46,Distressed Red Oak,5046,18.57,23.33,93704.22,117723.18,20001.03,231428.43
212,Ada Lovelace,WY,9.46,Marble,12486,88.73,34.25,1107882.78,427645.5,145260.98,1680789.26
