OrderNumber,CustomerName,State,TaxRate,ProductType,Area,CostPerSquareFoot,LaborCostPerSquareFoot,MaterialCost,LaborCost,Tax,Total
9,Elon Musk,XX,9.46,Tile,2546,1.5,14.3,3819,36407.8,3805.46,44032.26
16,Steve Jobs,RI,7,Disco Light Up Panels,28552,40.78,23.33,1164350.56,666118.16,128132.81,1958601.53
17,Bill Gates,TN,9.46,Distressed Red Oak,7442,18.57,23.33,138197.94,173621.86,29498.15,341317.95
25,Jaden Smith,II,9.46,Asphalt,25341,10.78,13.33,273175.98,337795.53,57797.9,668769.41
26,Elon Musk,ZZ,9.46,Laminate,5770,4.5,9.8,25965,56546,7805.54,90316.54
33,Jean Ichbiah,KY,6,Straw,422,1.8,3.25,759.6,1371.5,127.87,2258.97
39,Bill Gates,KY,6,Disco Light Up Panels,20476,40.78,23.33,835011.28,477705.08,78762.98,1391479.34
47,Jaden Smith,II,9.46,Laminate,15918,4.5,9.8,71631,155996.4,21533.55,249160.95
53,Jaden Smith,XX,9.46,Marble,20050,88.73,34.25,1779036.5,686712.5,233259.86,2699008.86
54,Elon Musk,LO,9.46,Wood,3042,12.5,9.25,38025,28138.5,6259.07,72422.57
63,Elon Musk,RI,7,Asphalt,5026,10.78,13.33,54180.28,66996.58,8482.38,129659.24
73,Charles Babbage,OH,7.14,Laminate,12727,4.5,9.8,57271.5,124724.6,12994.52,194990.62
74,Charles Darwin,KY,6,Carpet,3829,12.5,6.3,47862.5,24122.7,4319.11,76304.31
77,Grace Murray Hopper,KY,6,Wood,17726,12.5,9.25,221575,163965.5,23132.43,408672.93
82,Monty Hall,AK,1.76,Dirt,17098,0.78,3.33,13336.44,56936.34,1236.8,71509.58
89,Thomas J. Watson,KY,6,Bamboo,555,18.5,9.25,10267.5,5133.75,924.08,16325.33
98,Jean Ichbiah,TN,9.46,Straw,5589,1.8,3.25,10060.2,18164.25,2670.03,30894.48
105,Charles Babbage,AK,1.76,Disco Light Up Panels,9375,40.78,23.33,382312.5,218718.75,10578.15,611609.4
108,Elon Musk,TN,9.46,Bamboo,23873,18.5,9.25,441650.5,220825.25,62670.21,725145.96
113,Penn Jillette,XX,9.46,Disco Light Up Panels,11756,40.78,23.33,479409.68,274267.48,71297.86,824975.02
122,Alex Trebek,ZZ,9.46,Trampoline,13515,20.78,13.33,280841.7,180154.95,43610.28,504606.93
124,Steve Jobs,ZZ,9.46,Asphalt,19810,10.78,13.33,213551.8,264067.3,45182.77,522801.87
131,Jaden Smith,LO,9.46,Asphalt,11797,10.78,13.33,127171.66,157254.01,26906.67,311332.34
134,Jaden Smith,KY,6,Granite,12218,72.5,29.25,885805,357376.5,74590.89,1317772.39
143,Bill Gates,LO,9.46,Disco Light Up Panels,2482,40.78,23.33,101215.96,57905.06,15052.85,174173.87
145,Albert Einstein,TN,9.46,Dirt,23479,0.78,3.33,18313.62,78185.07,9128.78,105627.47
149,Jean Ichbiah,XX,9.46,Marble,20808,88.73,34.25,1846293.84,712674,242078.36,2801046.2
159,Charles Babbage,WY,9.46,Mosaic Tile,25987,18.5,49.25,480759.5,1279859.75,166554.58,1927173.83
