OrderNumber,CustomerName,State,TaxRate,ProductType,Area,CostPerSquareFoot,LaborCostPerSquareFoot,MaterialCost,LaborCost,Tax,Total
5,Charles Darwin,WY,9.46,Tile,22896,1.5,14.3,34344,327412.8,34222.19,395978.99
7,Charles Darwin,OH,7.14,Bamboo,18864,18.5,9.25,348984,174492,37376.19,560852.19
13,Alex Trebek,WY,9.46,Marble,19657,88.73,34.25,1744165.61,673252.25,228687.73,2646105.59
17,Monty Hall,WY,9.46,Trampoline,12947,20.78,13.33,269038.66,172583.51,41777.46,483399.63
20,Jean Ichbiah,ZZ,9.46,Bamboo,18317,18.5,9.25,338864.5,169432.25,48084.87,556381.62
29,Alex Trebek,WY,9.46,Dirt,28972,0.78,3.33,22598.16,96476.76,11264.49,130339.41
38,Jean Ichbiah,TX,8.19,Marble,26727,88.73,34.25,2371486.71,915399.75,269196,3556082.46
44,Monty Hall,II,9.46,Laminate,19433,4.5,9.8,87448.5,190443.4,26288.57,304180.47
53,Steve Jobs,ZZ,9.46,Straw,12204,1.8,3.25,21967.2,39663,5830.22,67460.42
60,Charles Babbage,TX,8.19,Trampoline,28348,20.78,13.33,589071.44,377878.84,79193.23,1046143.51
67,Elon Musk,HI,4.35,Tile,21925,1.5,14.3,32887.5,313527.5,15069.05,361484.05
68,Charles Darwin,AK,1.76,Dirt,13929,0.78,3.33,10864.62,46383.57,1007.57,58255.76
72,Albert Einstein,TX,8.19,Distressed Red Oak,7463,18.57,23.33,138587.91,174111.79,25610.11,338309.81
77,Ada Lovelace,HI,4.35,Laminate,20188,4.5,9.8,90846,197842.4,12557.95,301246.35
79,Alex Trebek,WY,9.46,Mosaic Tile,2767,18.5,49.25,51189.5,136274.75,17734.12,205198.37
87,Bill Gates,XX,9.46,Bamboo,19734,18.5,9.25,365079,182539.5,51804.71,599423.21
94,Monty Hall,DN,9.46,Mosaic Tile,2315,18.5,49.25,42827.5,114013.75,14837.18,171678.43
98,Ada Lovelace,OH,7.14,Distressed Red Oak,6256,18.57,23.33,116173.92,145952.48,18715.82,280842.22
101,Elon Musk,OH,7.14,Marble,7797,88.73,34.25,691827.81,267047.25,68463.68,1027338.74
108,Steve Jobs,XX,9.46,Tile,1249,1.5,14.3,1873.5,17860.7,1866.86,21601.06
113,Charles Darwin,LO,9.46,Dirt,27138,0.78,3.33,21167.64,90369.54,10551.42,122088.6
122,Charles Darwin,TX,8.19,Tile,9238,1.5,14.3,13857,132103.4,11954.16,157914.56
128,Alex Trebek,OH,7.14,Granite,21944,72.5,29.25,1590940,641862,159422.06,2392224.06
138,Bill Gates,KY,6,Bamboo,754,18.5,9.25,13949,6974.5,1255.41,22178.91
143,Thomas J. Watson,WY,9.46,Tile,26227,1.5,14.3,39340.5,375046.1,39200.97,453587.57
146,Thomas J. Watson,AK,1.76,Laminate,23136,4.5,9.8,104112,226732.8,5822.87,336667.67
147,Jaden Smith,AK,1.76,Trampoline,4577,20.78,13.33,95110.06,61011.41,2747.74,158869.21
157,Albert Einstein,RI,7,Mosaic Tile,24235,18.5,49.25,448347.5,1193573.75,114934.49,1756855.74
