OrderNumber,CustomerName,State,TaxRate,ProductType,Area,CostPerSquareFoot,LaborCostPerSquareFoot,MaterialCost,LaborCost,Tax,Total
4,Charles Darwin,XX,9.46,Disco Light Up Panels,23900,40.78,23.33,974642,557587,144948.86,1677177.86
7,Jean Ichbiah,HI,4.35,Distressed Red Oak,3526,18.57,23.33,65477.82,82261.58,6426.66,154166.06
12,Jean Ichbiah,XX,9.46,Wood,6820,12.5,9.25,85250,63085,14032.49,162367.49
15,Thomas J. Watson,WY,9.46,Carpet,14344,12.5,6.3,179300,90367.2,25510.52,295177.72
18,Ada Lovelace,RI,7,Trampoline,29317,20.78,13.33,609207.26,390795.61,70000.2,1070003.07
20,Charles Darwin,OH,7.14,Tile,7395,1.5,14.3,11092.5,105748.5,8342.45,125183.45
27,Alex Trebek,OH,7.14,Distressed Red Oak,5448,18.57,23.33,101169.36,127101.84,16298.56,244569.76
33,Jaden Smith,TX,8.19,Wood,6073,12.5,9.25,75912.5,56175.25,10817.99,142905.74
43,Jean Ichbiah,RI,7,Marble,26633,88.73,34.25,2363146.09,912180.25,229272.84,3504599.18
46,Elon Musk,RI,7,Dirt,16454,0.78,3.33,12834.12,54791.82,4733.82,72359.76
47,Thomas J. Watson,WY,9.46,Wood,24176,12.5,9.25,302200,223628,49743.33,575571.33
57,Alex Trebek,II,9.46,Granite,10297,72.5,29.25,746532.5,301187.25,99114.29,1146834.04
67,Alex Trebek,RI,7,Straw,27417,1.8,3.25,49350.6,89105.25,9691.91,148147.76
76,Alex Trebek,XX,9.46,Asphalt,23472,10.78,13.33,253028.16,312881.76,53535.08,619445
84,Charles Darwin,WY,9.46,Bamboo,26812,18.5,9.25,496022,248011,70385.52,814418.52
86,Grace Murray Hopper,LO,9.46,Carpet,28525,12.5,6.3,356562.5,179707.5,50731.14,587001.14
91,Steve Jobs,WY,9.46,Laminate,968,4.5,9.8,4356,9486.4,1309.49,15151.89
100,Steve Jobs,TN,9.46,Granite,11990,72.5,29.25,869275,350707.5,115410.34,1335392.84
103,Jaden Smith,LO,9.46,Bamboo,25386,18.5,9.25,469641,234820.5,66642.06,771103.56
110,Ada Lovelace,LO,9.46,Disco Light Up Panels,8151,40.78,23.33,332397.78,190162.83,49434.23,571994.84
115,Thomas J. Watson,RI,7,Distressed Red Oak,6329,18.57,23.33,117529.53,147655.57,18562.96,283748.06
118,Thomas J. Watson,RI,7,Straw,5929,1.8,3.25,10672.2,19269.25,2095.9,32037.35
128,Charles Darwin,HI,4.35,Wood,29967,12.5,9.25,374587.5,277194.75,28352.53,680134.78
134,Charles Babbage,TX,8.19,Marble,7301,88.73,34.25,647817.73,250059.25,73536.12,971413.1
144,Jaden Smith,OH,7.14,Granite,24357,72.5,29.25,1765882.5,712442.25,176952.39,2655277.14
145,Elon Musk,AK,1.76,Asphalt,19954,10.78,13.33,215104.12,265986.82,8467.2,489558.14
151,Jean Ichbiah,RI,7,Tile,4522,1.5,14.3,6783,64664.6,5001.33,76448.93
154,Jaden Smith,TN,9.46,Marble,18087,88.73,34.25,1604859.51,619479.75,210422.49,2434761.75
