OrderNumber,CustomerName,State,TaxRate,ProductType,Area,CostPerSquareFoot,LaborCostPerSquareFoot,MaterialCost,LaborCost,Tax,Total
10,Steve Jobs,WY,9.46,Asphalt,18389,10.78,13.33,198233.42,245125.37,41941.74,485300.53
11,Thomas J. Watson,KY,6,Dirt,26941,0.78,3.33,21013.98,89713.53,6643.65,117371.16
21,Elon Musk,LO,9.46,Wood,21775,12.5,9.25,272187.5,201418.75,44803.15,518409.4
27,Charles Darwin,TN,9.46,Distressed Red Oak,24262,18.57,23.33,450545.34,566032.46,96168.26,1112746.06
35,Ada Lovelace,II,9.46,Trampoline,15347,20.78,13.33,318910.66,204575.51,49521.79,573007.96
45,Elon Musk,LO,9.46,Wood,7311,12.5,9.25,91387.5,67626.75,15042.75,174057
51,Charles Darwin,XX,9.46,Tile,22658,1.5,14.3,33987,324009.4,33866.46,391862.86
56,Charles Darwin,WY,9.46,Granite,9756,72.5,29.25,707310,285363,93906.87,1086579.87
63,Monty Hall,KY,6,Tile,22338,1.5,14.3,33507,319433.4,21176.42,374116.82
67,Jaden Smith,LO,9.46,Asphalt,6711,10.78,13.33,72344.58,89457.63,15306.49,177108.7
74,Alex Trebek,XX,9.46,Distressed Red Oak,22858,18.57,23.33,424473.06,533277.14,90603.17,1048353.37
81,Jean Ichbiah,RI,7,Bamboo,14886,18.5,9.25,275391,137695.5,28916.06,442002.56
89,Monty Hall,KY,6,Distressed Red Oak,15720,18.57,23.33,291920.4,366747.6,39520.08,698188.08
91,Monty Hall,ZZ,9.46,Bamboo,3438,18.5,9.25,63603,31801.5,9025.27,104429.77
92,Charles Darwin,ZZ,9.46,Bamboo,20425,18.5,9.25,377862.5,188931.25,53618.69,620412.44
97,Elon Musk,II,9.46,Bamboo,15331,18.5,9.25,283623.5,141811.75,40246.17,465681.42
103,Steve Jobs,KY,6,Straw,22386,1.8,3.25,40294.8,72754.5,6782.96,119832.26
110,Bill Gates,ZZ,9.46,Laminate,11345,4.5,9.8,51052.5,111181,15347.29,177580.79
112,Charles Babbage,OH,7.14,Trampoline,24022,20.78,13.33,499177.16,320213.26,58504.48,877894.9
119,Bill Gates,HI,4.35,Trampoline,25451,20.78,13.33,528871.78,339261.83,37763.81,905897.42
124,Bill Gates,AK,1.76,Trampoline,2655,20.78,13.33,55170.9,35391.15,1593.89,92155.94
127,Alex Trebek,ZZ,9.46,Straw,12359,1.8,3.25,22246.2,40166.75,5904.27,68317.22
