OrderNumber,CustomerName,State,TaxRate,ProductType,Area,CostPerSquareFoot,LaborCostPerSquareFoot,MaterialCost,LaborCost,Tax,Total
13,Charles Darwin,KY,6,Mosaic Tile,17840,18.5,49.25,330040,878620,72519.6,1281179.6
15,Albert Einstein,RI,7,Laminate,14499,4.5,9.8,65245.5,142090.2,14513.5,221849.2
19,Charles Babbage,LO,9.46,Carpet,20067,12.5,6.3,250837.5,126422.1,35688.76,412948.36
23,Bill Gates,ZZ,9.46,Straw,6091,1.8,3.25,10963.8,19795.75,2909.85,33669.4
30,Alex Trebek,DN,9.46,Carpet,1940,12.5,6.3,24250,12222,3450.25,39922.25
39,Grace Murray Hopper,II,9.46,Marble,3752,88.73,34.25,332914.96,128506,43650.42,505071.38
46,Bill Gates,WY,9.46,Straw,19297,1.8,3.25,34734.6,62715.25,9218.76,106668.61
49,Elon Musk,KY,6,Bamboo,19723,18.5,9.25,364875.5,182437.75,32838.8,580152.05
59,Charles Babbage,XX,9.46,Disco Light Up Panels,5424,40.78,23.33,221190.72,126541.92,32895.51,380628.15
63,Monty Hall,II,9.46,Mosaic Tile,16655,18.5,49.25,308117.5,820258.75,106744.39,1235120.64
73,Penn Jillette,XX,9.46,Laminate,7340,4.5,9.8,33030,71932,9929.41,114891.41
77,Albert Einstein,AK,1.76,Granite,25866,72.5,29.25,1875285,756580.5,46320.83,2678186.33
81,Penn Jillette,TX,8.19,Bamboo,10278,18.5,9.25,190143,95071.5,23359.07,308573.57
89,Bill Gates,DN,9.46,Bamboo,15873,18.5,9.25,293650.5,146825.25,41669.01,482144.76
92,Bill Gates,LO,9.46,Dirt,26639,0.78,3.33,20778.42,88707.87,10357.4,119843.69
99,Monty Hall,DN,9.46,Bamboo,19400,18.5,9.25,358900,179450,50927.91,589277.91
102,Ada Lovelace,RI,7,Carpet,5467,12.5,6.3,68337.5,34442.1,7194.57,109974.17
110,Steve Jobs,DN,9.46,Granite,14613,72.5,29.25,1059442.5,427430.25,140658.16,1627530.91
116,Jean Ichbiah,XX,9.46,Wood,15324,12.5,9.25,191550,141747,31529.9,364826.9
124,Thomas J. Watson,HI,4.35,Marble,25181,88.73,34.25,2234310.13,862449.25,134709.03,3231468.41
132,Penn Jillette,HI,4.35,Carpet,23597,12.5,6.3,294962.5,148661.1,19297.63,462921.23
133,Penn Jillette,KY,6,Bamboo,7916,18.5,9.25,146446,73223,13180.14,232849.14
136,Alex Trebek,XX,9.46,Distressed Red Oak,22907,18.57,23.33,425382.99,534420.31,90797.39,1050600.69
